"TIME","GEO","INDIC","S_ADJ","Value","Flag and Footnotes"
"2000M05","Latvia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","105.5",""
"2000M05","Latvia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-5.4",""
"2000M05","Latvia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-9.5",""
"2000M05","Latvia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","9.4",""
"2000M05","Latvia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","7.6",""
"2000M05","Latvia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M05","Latvia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M05","Latvia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M05","Latvia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M05","Lithuania","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-61.4",""
"2000M05","Lithuania","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-70.1",""
"2000M05","Lithuania","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M05","Lithuania","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","98.0",""
"2000M05","Lithuania","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-14.2",""
"2000M05","Lithuania","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-12.8",""
"2000M05","Lithuania","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-15.7",""
"2000M05","Lithuania","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-16.4",""
"2000M05","Lithuania","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M05","Lithuania","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M05","Lithuania","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M05","Lithuania","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M06","Estonia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-8.7",""
"2000M06","Estonia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-9.8",""
"2000M06","Estonia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Estonia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","94.1",""
