Date,Open,High,Low,Close,Volume
2010-11-30,36.18,36.61,36.13,36.38,576321.0
2010-10-31,39.56,39.7,39.39,39.62,342587.0
2010-09-30,38.35,38.52,37.63,37.85,359763.0
2010-08-31,33.87,34.23,33.73,33.99,4036695.0
2010-07-31,35.35,35.89,35.28,35.68,246129.0
2010-06-30,31.62,32.0,31.31,31.35,249927.0
2010-05-31,32.5,33.32,32.32,32.64,0.0
2010-04-30,37.42,37.5,36.83,36.83,1403705.0
2010-03-31,38.09,38.51,38.03,38.34,458860.0
2010-02-28,35.7,36.19,35.45,36.02,424045.0
2010-01-31,36.95,37.22,36.3,36.39,312052.0
2009-12-31,39.02,39.32,39.01,38.96,0.0
2009-11-30,39.15,39.5,38.84,39.33,488813.0
2009-10-31,38.85,38.96,37.56,37.66,749031.0
2009-09-30,38.7,38.77,38.03,38.54,407051.0
2009-08-31,36.49,36.72,36.38,36.69,264318.0
2009-07-31,34.38,34.89,34.25,34.81,241218.0
2009-06-30,31.71,31.76,31.06,31.38,267746.0
2009-05-31,32.67,32.75,32.33,32.7,348919.0
2009-04-30,29.17,29.38,28.65,28.84,281540.0
2009-03-31,25.34,25.91,25.21,25.58,580002.0
2009-02-28,23.35,24.25,23.35,23.72,841831.0
2009-01-31,26.98,27.08,26.41,26.55,441161.0
2008-12-31,30.69,31.29,30.51,31.14,521242.0
2008-11-30,28.83,29.28,28.54,29.28,419273.0
2008-10-31,30.37,31.79,30.16,31.39,431600.0
2008-09-30,38.97,39.86,38.87,39.86,620600.0
2008-08-31,45.84,45.95,45.48,45.48,482100.0
2008-07-31,47.57,47.83,47.36,47.36,226700.0
2008-06-30,48.9,48.98,48.61,48.61,696800.0
2008-05-31,55.1,55.26,54.98,55.06,572600.0
2008-04-30,54.88,55.24,54.72,54.83,1101200.0
2008-03-31,52.26,52.8,52.2,52.5,1210400.0
2008-02-29,52.59,52.59,51.83,51.9,2752800.0
2008-01-31,50.47,52.47,50.43,52.14,2032000.0
2007-12-31,57.6,57.88,57.04,57.17,403400.0
2007-11-30,61.22,61.22,59.95,60.22,287400.0
2007-10-31,61.64,62.54,61.62,62.3,460600.0
2007-09-30,59.45,59.68,59.0,59.6,343400.0
2007-08-31,56.25,56.99,56.25,56.68,950200.0
2007-07-31,57.26,57.62,56.75,56.96,564400.0
2007-06-30,58.5,58.8,58.12,58.46,279000.0
2007-05-31,58.68,58.9,58.66,58.7,313000.0
2007-04-30,57.66,57.85,57.38,57.45,197400.0
2007-03-31,53.91,54.22,53.88,54.17,412200.0
2007-02-28,52.62,52.72,52.09,52.4,690000.0
2007-01-31,52.52,53.42,52.42,53.08,442600.0
2006-12-31,52.3,52.54,52.25,52.48,277200.0
2006-11-30,52.0,52.06,51.72,51.98,323800.0
2006-10-31,50.09,50.31,50.0,50.18,114600.0
2006-09-30,48.3,48.4,48.15,48.3,185800.0
2006-08-31,48.12,48.12,47.83,47.98,351200.0
2006-07-31,46.6,46.62,46.45,46.58,384800.0
2006-06-30,45.45,45.75,45.34,45.68,439400.0
2006-05-31,45.15,45.4,45.04,45.35,148200.0
2006-04-30,46.5,46.84,46.45,46.74,362200.0
2006-03-31,44.55,44.6,44.36,44.42,276000.0
2006-02-28,43.02,43.04,42.69,42.82,141200.0
2006-01-31,42.71,42.98,42.62,42.73,274000.0
2005-12-31,40.25,40.44,40.18,40.38,280200.0
2005-11-30,39.82,39.92,39.65,39.65,150200.0
2005-10-31,39.01,39.28,39.01,39.05,382200.0
2005-09-30,40.15,40.37,40.1,40.28,131400.0
2005-08-31,38.94,39.65,38.93,39.65,103400.0
2005-07-31,38.7,38.79,38.48,38.48,74800.0
2005-06-30,37.45,37.52,37.18,37.25,171000.0
2005-05-31,37.02,37.12,36.86,36.86,124800.0
2005-04-30,36.98,37.08,36.74,37.08,139200.0
2005-03-31,37.9,37.98,37.66,37.7,1131800.0
2005-02-28,38.9,38.9,38.43,38.65,124200.0
2005-01-31,36.88,37.05,36.86,37.02,156200.0
2004-12-31,37.94,37.95,37.6,37.62,136200.0
2004-11-30,37.17,37.17,36.8,36.88,388600.0
2004-10-31,34.62,34.74,34.5,34.74,72800.0
2004-09-30,33.38,33.48,33.16,33.34,244000.0
2004-08-31,32.08,32.34,31.95,32.34,53400.0
2004-07-31,32.02,32.14,31.88,32.0,35800.0
2004-06-30,33.16,33.36,32.85,33.26,142400.0
2004-05-31,32.67,32.67,32.38,32.53,66800.0
2004-04-30,32.12,32.12,31.79,31.9,185200.0
2004-03-31,32.28,32.58,32.18,32.51,148600.0
2004-02-29,33.7,33.82,33.35,33.7,182800.0
2004-01-31,32.72,32.72,32.42,32.62,227600.0
2003-12-31,32.15,32.24,32.0,32.08,67200.0
2003-11-30,30.32,30.42,30.15,30.22,59000.0
2003-10-31,28.86,29.12,28.86,29.05,253600.0
2003-09-30,27.67,27.67,27.06,27.14,64400.0
2003-08-31,26.92,26.97,26.48,26.51,301400.0
2003-07-31,27.02,27.02,26.58,26.67,22400.0
2003-06-30,26.46,26.66,26.19,26.39,145200.0
2003-05-31,26.16,26.3,25.25,26.18,94800.0
2003-04-30,24.62,24.91,24.34,24.5,176800.0
2003-03-31,21.5,21.72,21.39,21.46,255000.0
2003-02-28,21.56,21.92,21.56,21.66,177800.0
2003-01-31,22.23,22.84,22.22,22.84,219000.0
2002-12-31,23.53,23.75,23.45,23.74,118000.0
2002-11-30,25.1,25.34,25.08,25.18,71800.0
2002-10-31,23.9,24.07,23.65,23.92,224000.0
2002-09-30,21.85,22.19,21.63,22.05,130400.0
2002-08-31,25.09,25.42,25.03,25.03,104000.0
2002-07-31,25.28,25.82,24.96,25.82,167800.0
2002-06-30,28.0,28.5,28.0,28.25,155600.0
2002-05-31,29.55,29.64,29.16,29.16,54600.0
2002-04-30,29.35,29.68,29.3,29.54,73000.0
2002-03-31,29.68,29.75,29.5,29.5,38600.0
2002-02-28,28.12,28.34,28.07,28.12,177600.0
2002-01-31,28.24,28.28,28.0,28.28,22800.0
2001-12-31,29.45,29.78,29.45,29.54,153000.0
2001-11-30,28.78,29.0,28.78,28.85,227600.0
2001-10-31,28.1,28.26,27.7,27.78,49800.0
2001-09-30,27.2,27.33,26.9,27.18,24400.0
2001-08-31,30.41,30.5,30.25,30.5,12800.0
2001-07-31,30.89,31.4,30.89,31.4,68600.0
2001-06-30,31.32,31.8,31.09,31.6,131000.0
2001-05-31,33.12,33.45,32.66,33.45,27200.0
2001-04-30,34.04,34.47,33.92,34.22,43000.0
2001-03-31,32.0,32.25,32.0,32.24,90600.0
2001-02-28,34.5,34.62,34.08,34.31,99600.0
2001-01-31,37.52,38.5,37.52,38.25,36000.0
2000-12-31,38.25,38.41,38.19,38.34,69400.0
2000-11-30,36.16,36.22,36.04,36.22,19600.0
2000-10-31,0.0,36.5,36.31,36.41,181200.0
2000-09-30,0.0,38.13,37.88,38.13,79800.0
2000-08-31,0.0,39.55,39.34,39.53,21400.0
2000-07-31,0.0,39.03,38.38,39.03,26000.0
