Date,OMXV Value,OMXV Change (%),OMXV Daily Change (%),OMX raw,2,,,1,
"01,07,2000",92.33,-7.67,-0.36,2000-07-01,7,2000,92.33,1,99.49230769
"02,07,2000",92.33,-7.67,0,2000-07-02,7,2000,184.66,2,
"03,07,2000",92.34,-7.66,0.01,2000-07-03,7,2000,277,3,
"04,07,2000",91.78,-8.22,-0.61,2000-07-04,7,2000,368.78,4,
"05,07,2000",91.85,-8.15,0.08,2000-07-05,7,2000,460.63,5,
"06,07,2000",91.85,-8.15,0,2000-07-06,7,2000,552.48,6,
"07,07,2000",91.85,-8.15,0,2000-07-07,7,2000,644.33,7,
"08,07,2000",91.85,-8.15,0,2000-07-08,7,2000,736.18,8,
"09,07,2000",91.85,-8.15,0,2000-07-09,7,2000,828.03,9,
"10,07,2000",91.71,-8.29,-0.15,2000-07-10,7,2000,919.74,10,
"11,07,2000",91.55,-8.45,-0.17,2000-07-11,7,2000,1011.29,11,
"12,07,2000",91.64,-8.36,0.1,2000-07-12,7,2000,1102.93,12,
"13,07,2000",91.79,-8.21,0.16,2000-07-13,7,2000,1194.72,13,
"14,07,2000",91.82,-8.18,0.03,2000-07-14,7,2000,1286.54,14,
"15,07,2000",91.82,-8.18,0,2000-07-15,7,2000,1378.36,15,
"16,07,2000",91.82,-8.18,0,2000-07-16,7,2000,1470.18,16,
"17,07,2000",91.74,-8.26,-0.09,2000-07-17,7,2000,1561.92,17,
"18,07,2000",91.31,-8.69,-0.47,2000-07-18,7,2000,1653.23,18,
"19,07,2000",91.64,-8.36,0.36,2000-07-19,7,2000,1744.87,19,
"20,07,2000",90.89,-9.11,-0.82,2000-07-20,7,2000,1835.76,20,
"21,07,2000",90.52,-9.48,-0.41,2000-07-21,7,2000,1926.28,21,
"22,07,2000",90.52,-9.48,0,2000-07-22,7,2000,2016.8,22,
"23,07,2000",90.52,-9.48,0,2000-07-23,7,2000,2107.32,23,
"24,07,2000",90.41,-9.59,-0.12,2000-07-24,7,2000,2197.73,24,
"25,07,2000",90.38,-9.62,-0.03,2000-07-25,7,2000,2288.11,25,
"26,07,2000",90.7,-9.3,0.35,2000-07-26,7,2000,2378.81,26,
"27,07,2000",91.33,-8.67,0.69,2000-07-27,7,2000,2470.14,27,
"28,07,2000",91.44,-8.56,0.12,2000-07-28,7,2000,2561.58,28,
"29,07,2000",91.44,-8.56,0,2000-07-29,7,2000,2653.02,29,
"30,07,2000",91.44,-8.56,0,2000-07-30,7,2000,2744.46,30,
"31,07,2000",90.46,-9.54,-1.07,2000-07-31,7,2000,2834.92,31,
"01,08,2000",90.5,-9.5,0.04,2000-08-01,8,2000,2925.42,32,
"02,08,2000",89.43,-10.57,-1.18,2000-08-02,8,2000,3014.85,33,
"03,08,2000",89.58,-10.42,0.17,2000-08-03,8,2000,3104.43,34,
"04,08,2000",89.21,-10.79,-0.41,2000-08-04,8,2000,3193.64,35,
"05,08,2000",89.21,-10.79,0,2000-08-05,8,2000,3282.85,36,
"06,08,2000",89.21,-10.79,0,2000-08-06,8,2000,3372.06,37,
"07,08,2000",88.08,-11.92,-1.27,2000-08-07,8,2000,3460.14,38,
"08,08,2000",86.62,-13.38,-1.66,2000-08-08,8,2000,3546.76,39,
"09,08,2000",86.61,-13.39,-0.01,2000-08-09,8,2000,3633.37,40,
"10,08,2000",86.42,-13.58,-0.22,2000-08-10,8,2000,3719.79,41,
"11,08,2000",86.86,-13.14,0.51,2000-08-11,8,2000,3806.65,42,
"12,08,2000",87.69,-12.31,0.96,2000-08-12,8,2000,3894.34,43,
"13,08,2000",87.69,-12.31,0,2000-08-13,8,2000,3982.03,44,
"14,08,2000",87.69,-12.31,0,2000-08-14,8,2000,4069.72,45,
"15,08,2000",87.69,-12.31,0,2000-08-15,8,2000,4157.41,46,
"16,08,2000",86.6,-13.4,-1.24,2000-08-16,8,2000,4244.01,47,
"17,08,2000",86.13,-13.87,-0.54,2000-08-17,8,2000,4330.14,48,
"18,08,2000",86.05,-13.95,-0.09,2000-08-18,8,2000,4416.19,49,
"19,08,2000",86.05,-13.95,0,2000-08-19,8,2000,4502.24,50,
"20,08,2000",86.05,-13.95,0,2000-08-20,8,2000,4588.29,51,
"21,08,2000",85.62,-14.38,-0.5,2000-08-21,8,2000,4673.91,52,
"22,08,2000",84.84,-15.16,-0.91,2000-08-22,8,2000,4758.75,53,
"23,08,2000",83.75,-16.25,-1.28,2000-08-23,8,2000,4842.5,54,
"24,08,2000",84.23,-15.77,0.57,2000-08-24,8,2000,4926.73,55,
"25,08,2000",86.6,-13.4,2.81,2000-08-25,8,2000,5013.33,56,
"26,08,2000",86.6,-13.4,0,2000-08-26,8,2000,5099.93,57,
"27,08,2000",86.6,-13.4,0,2000-08-27,8,2000,5186.53,58,
"28,08,2000",87.27,-12.73,0.77,2000-08-28,8,2000,5273.8,59,
"29,08,2000",91.36,-8.64,4.69,2000-08-29,8,2000,5365.16,60,
