"TIME","GEO","INDIC","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M03","Latvia","Business activity (sales) development over the past 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","1.3",""
"2000M03","Latvia","Volume of stocks currently hold","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","2.5",""
"2000M03","Latvia","Volume of stocks currently hold","Seasonally adjusted data, not calendar adjusted data","Balance","4.3",""
"2000M03","Latvia","Expectations of the number of orders placed with suppliers over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-1.3",""
"2000M03","Latvia","Expectations of the number of orders placed with suppliers over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","1.4",""
"2000M03","Latvia","Business activity expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","12.1",""
"2000M03","Latvia","Business activity expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","9.3",""
"2000M03","Latvia","Employment expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-2.0",""
"2000M03","Latvia","Employment expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-3.6",""
"2000M03","Lithuania","Business activity (sales) development over the past 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-34.0",""
"2000M03","Lithuania","Business activity (sales) development over the past 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-37.0",""
"2000M03","Lithuania","Volume of stocks currently hold","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-13.0",""
"2000M03","Lithuania","Volume of stocks currently hold","Seasonally adjusted data, not calendar adjusted data","Balance","-16.0",""
"2000M03","Lithuania","Expectations of the number of orders placed with suppliers over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-13.0",""
"2000M03","Lithuania","Expectations of the number of orders placed with suppliers over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-7.4",""
"2000M03","Lithuania","Business activity expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-15.2",""
"2000M03","Lithuania","Business activity expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-16.1",""
"2000M03","Lithuania","Employment expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-35.8",""
"2000M03","Lithuania","Employment expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-35.0",""
"2000M04","Estonia","Business activity (sales) development over the past 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-27.0",""
"2000M04","Estonia","Business activity (sales) development over the past 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-14.5",""
"2000M04","Estonia","Volume of stocks currently hold","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","9.6",""
"2000M04","Estonia","Volume of stocks currently hold","Seasonally adjusted data, not calendar adjusted data","Balance","9.3",""
"2000M04","Estonia","Expectations of the number of orders placed with suppliers over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","27.2",""
"2000M04","Estonia","Expectations of the number of orders placed with suppliers over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-0.7",""
"2000M04","Estonia","Business activity expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","33.1",""
"2000M04","Estonia","Business activity expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","17.9",""
"2000M04","Estonia","Employment expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-14.8",""
"2000M04","Estonia","Employment expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-15.7",""
"2000M04","Latvia","Business activity (sales) development over the past 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-5.4",""
"2000M04","Latvia","Business activity (sales) development over the past 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-5.0",""
"2000M04","Latvia","Volume of stocks currently hold","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-4.5",""
"2000M04","Latvia","Volume of stocks currently hold","Seasonally adjusted data, not calendar adjusted data","Balance","-4.6",""
"2000M04","Latvia","Expectations of the number of orders placed with suppliers over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","18.7",""
"2000M04","Latvia","Expectations of the number of orders placed with suppliers over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","10.8",""
