"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M06","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":",""
"2000M06","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M07","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","75.8",""
"2000M07","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.3",""
"2000M07","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","0.9",""
"2000M07","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","64.1",""
"2000M07","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","1.0",""
"2000M07","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","0.0",""
"2000M07","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","86.8",""
"2000M07","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
